Arizona,928 (13.5),"1,106 (15.9)",2.4†††,17.8†††,414 (5.9),362 (5.0),?0.9†††,?15.3†††
Connecticut,955 (27.7),948 (27.5),?0.2,?0.7,273 (7.7),231 (6.4),?1.3,?16.9
District of Columbia,244 (34.7),191 (26.7),?8.0†††,?23.1†††,58 (8.4),41 (5.7),?2.7,?32.1
Georgia,"1,014 (9.7)",866 (8.3),?1.4†††,?14.4†††,568 (5.4),440 (4.1),?1.3†††,?24.1†††
Illinois,"2,202 (17.2)","2,169 (17.0)",?0.2,?1.2,623 (4.8),539 (4.2),?0.6†††,?12.5†††
Iowa,206 (6.9),143 (4.8),?2.1†††,?30.4†††,104 (3.4),64 (2.1),?1.3†††,?38.2†††
Maine,360 (29.9),282 (23.4),?6.5†††,?21.7†††,100 (7.6),69 (5.1),?2.5,?32.9
Maryland,"1,985 (32.2)","2,087 (33.7)",1.5,4.7,711 (11.5),576 (9.2),?2.3†††,?20.0†††
Massachusetts,"1,913 (28.2)","1,991 (29.3)",1.1,3.9,321 (4.6),331 (4.7),0.1,2.2
Missouri,952 (16.5),"1,132 (19.6)",3.1†††,18.8†††,253 (4.1),265 (4.4),0.3,7.3
Nevada,412 (13.3),372 (11.5),?1.8,?13.5,276 (8.7),235 (7.2),?1.5†††,?17.2†††
New Hampshire,424 (34.0),412 (33.1),?0.9,?2.6,62 (4.8),43 (3.1),?1.7,?35.4
New Mexico,332 (16.7),338 (16.7),0,0,171 (8.5),176 (8.2),?0.3,?3.5
New York,"3,224 (16.1)","2,991 (15.1)",?1.0†††,?6.2†††,"1,044 (5.1)",998 (4.9),?0.2,?3.9
North Carolina,"1,953 (19.8)","1,783 (17.9)",?1.9†††,?9.6†††,659 (6.5),489 (4.7),?1.8†††,?27.7†††
Ohio,"4,293 (39.2)","3,237 (29.6)",?9.6†††,?24.5†††,947 (8.4),571 (5.0),?3.4†††,?40.5†††
Oklahoma,388 (10.2),308 (7.8),?2.4†††,?23.5†††,251 (6.7,172 (4.3),?2.4†††,?35.8†††
Oregon,344 (8.1),339 (8.0),?0.1,?1.2,154 (3.5),151 (3.4),?0.1,?2.9
Rhode Island,277 (26.9),267 (25.9),?1.0,?3.7,99 (8.8),85 (7.7),?1.1,?12.5
South Carolina,749 (15.5),835 (17.1),1.6,10.3,345 (7.1),375 (7.4),0.3,4.2
Tennessee,"1,269 (19.3)","1,307 (19.9)",0.6,3.1,644 (9.6),550 (8.2),?1.4†††,?14.6†††
Utah,456 (15.5),437 (14.8),?0.7,?4.5,315 (10.8),306 (10.5),?0.3,?2.8
Vermont,114 (20.0),127 (22.8),2.8,14,40 (6.3),27 (4.4),?1.9,?30.2
Virginia,"1,241 (14.8)","1,193 (14.3)",?0.5,?3.4,404 (4.7),326 (3.8),?0.9†††,?19.1†††
Washington,742 (9.6),737 (9.4),?0.2,?2.1,343 (4.3),301 (3.8),?0.5,?11.6
West Virginia,833 (49.6),702 (42.4),?7.2†††,?14.5†††,304 (17.2),234 (13.1),?4.1†††,?23.8†††
Wisconsin,926 (16.9),846 (15.3),?1.6†††,?9.5†††,362 (6.4),301 (5.3),?1.1†††,?17.2†††
Wyoming,47 (8.7),40 (6.8),?1.9,?21.8,31 (6.0),28 (4.6),?1.4,?23.3
States with good reporting (n = 10)¶¶,,,,,,,,
California,"2,199 (5.3)","2,410 (5.8)",0.5†††,9.4†††,"1,169 (2.8)","1,084 (2.6)",?0.2,?7.1
Colorado,578 (10.0),564 (9.5),?0.5,?5.0,300 (5.1),268 (4.4),?0.7,?13.7
Florida,"3,245 (16.3)","3,189 (15.8)",?0.5,?3.1,"1,272 (6.0)","1,282 (6.0)",0,0
Hawaii,53 (3.4),59 (4.1),0.7,20.6,40 (2.5),33 (2.3),?0.2,?8.0
Indiana,"1,176 (18.8)","1,104 (17.5)",?1.3,?6.9,425 (6.6),370 (5.6),?1.0†††,?15.2†††
Kentucky,"1,160 (27.9)",989 (23.4),?4.5†††,?16.1†††,433 (10.2),315 (7.2),?3.0†††,?29.4†††
Michigan,"2,033 (21.2)","2,011 (20.8)",?0.4,?1.9,633 (6.5),556 (5.6),?0.9†††,?13.8†††
Minnesota,422 (7.8),343 (6.3),?1.5†††,?19.2†††,195 (3.6),136 (2.5),?1.1†††,?30.6†††
Mississippi,185 (6.4),173 (6.1),?0.3,?4.7,96 (3.2),92 (3.1),?0.1,?3.1
Texas,"1,458 (5.1)","1,402 (4.8)",?0.3,?5.9,646 (2.3),547 (1.9),?0.4,?17.4
